state,product_,date,created_by,leads,prelim_quotes,final_qotes,purchases,cr
az,ho3,8/29/2018,Online,11,6,4,0,0
az,ho6,8/29/2018,Online,3,2,0,0,0
az,ho3,8/30/2018,Agent,2,0,0,0,0
az,ho3,8/30/2018,Online,8,5,3,0,0
az,ho6,8/30/2018,Online,0,0,0,0,0
az,ho3,8/31/2018,Agent,1,0,0,0,0
az,ho3,8/31/2018,Online,6,5,3,0,0
az,ho3,9/1/2018,Agent,1,1,1,1,1
az,ho3,9/1/2018,Online,5,5,1,0,0
az,ho6,9/1/2018,Online,2,2,0,0,0
az,ho3,9/2/2018,Online,8,4,2,1,0.125
az,ho6,9/2/2018,Online,3,2,1,1,0.333333333
az,ho3,9/3/2018,Agent,1,0,0,0,0
az,ho3,9/3/2018,Online,5,3,1,1,0.2
az,ho3,9/4/2018,Online,8,4,2,0,0
az,ho6,9/4/2018,Online,2,2,0,0,0
az,ho3,9/5/2018,Agent,1,0,0,0,0
az,ho3,9/5/2018,Online,14,7,5,0,0
az,ho3,9/6/2018,Agent,1,1,0,0,0
az,ho3,9/6/2018,Online,12,9,3,0,0
az,ho6,9/6/2018,Online,3,3,1,1,0.333333333
az,ho3,9/7/2018,Agent,1,1,1,1,1
az,ho3,9/7/2018,Online,10,4,2,1,0.1
az,ho3,9/8/2018,Agent,1,1,1,0,0
az,ho3,9/8/2018,Online,9,7,2,0,0
az,ho3,9/9/2018,Agent,1,1,1,1,1
az,ho3,9/9/2018,Online,5,3,1,0,0
az,ho6,9/9/2018,Online,1,1,0,0,0
az,ho3,9/10/2018,Agent,1,1,1,1,1
az,ho3,9/10/2018,Online,14,8,3,0,0
az,ho3,9/11/2018,Agent,1,1,1,0,0
az,ho3,9/11/2018,Online,22,12,4,0,0
az,ho6,9/11/2018,Online,1,1,0,0,0
az,ho3,9/12/2018,Agent,2,2,1,2,1
az,ho3,9/12/2018,Online,10,8,5,1,0.1
az,ho6,9/12/2018,Online,1,1,1,0,0
az,ho3,9/13/2018,Agent,0,0,0,0,0
